,id,type,address,number,postal_code,municipality,province,location,public,available,hours,Full_Address,Lat,Lon
0,13.0,,Blvd. Fr. Roosevelt,24.0,7060.0,SOIGNIES,Hainaut,,Y,,,"Blvd. Fr. Roosevelt,24.0,Hainaut,Belgium",50.5257076,4.062101699999999
1,70.0,,Ch. De Wégimont,76.0,4630.0,Ayeneux,Liège,,,,,"Ch. De Wégimont,76.0,Liège,Belgium",50.6076801,5.7301866
2,71.0,,Place Saint - Lambert,,4020.0,Liège,Liège,,,,,"Place Saint - Lambert,,Liège,Belgium",50.6456222,5.5736201
3,72.0,,Rue du Doyard,,4990.0,Lierneux,Liège,,,,,"Rue du Doyard,,Liège,Belgium",50.6802705,5.6316094
4,73.0,,Fond Saint Servais,,4000.0,Liège,Liège,,,,,"Fond Saint Servais,,Liège,Belgium",50.6468058,5.5710309
5,74.0,,Rue des Prémontrès,12.0,4020.0,Liège,Liège,,,,,"Rue des Prémontrès,12.0,Liège,Belgium",50.637795,5.5743458
6,75.0,,Route de Bastogne,1.0,4920.0,Harzé,Liège,,,,,"Route de Bastogne,1.0,Liège,Belgium",50.3693961,5.6754325
7,76.0,,Rue du Parc,1.0,4540.0,Jehay,Liège,,,,,"Rue du Parc,1.0,Liège,Belgium",50.6309839,5.5757498
8,77.0,,Blvd. De la Constitution,19.0,4020.0,Liège,Liège,,,,,"Blvd. De la Constitution,19.0,Liège,Belgium",50.6441832,5.5882429
9,78.0,,Place de la République française ,,4000.0,Liège,Liège,,,,,"Place de la République française ,,Liège,Belgium",50.6434288,5.5718235
10,79.0,,Rue Darchis,33.0,4020.0,Liège,Liège,,,,,"Rue Darchis,33.0,Liège,Belgium",50.6370996,5.5649557
11,86.0,,Schumanplein,11.0,1040.0,Brussel,Bruxelles-Brussel,,,,,"Schumanplein,11.0,Bruxelles-Brussel,Belgium",50.8425524,4.3835184
12,87.0,,Uitbreidingstraat,,2600.0,Berchem,Antwerpen,,,,,"Uitbreidingstraat,,Antwerpen,Belgium",51.1967334,4.4294545
13,95.0,,Peperstraat,2.0,3300.0,TIENEN,Vlaams-Brabant,,Y,,,"Peperstraat,2.0,Vlaams-Brabant,Belgium",50.90404,4.55725
14,96.0,,Graafschap - Jettelaan,2.0,1090.0,Brussel,Bruxelles-Brussel,,,,,"Graafschap - Jettelaan,2.0,Bruxelles-Brussel,Belgium",50.8830257,4.3333836
