,id,type,address,number,postal_code,municipality,province,location,public,available,hours,Full_Address,Lat,Lon,WT_3m1p5
54,277.0,Appareil Mobile- Mobiel apparaat,Adriaan Brouwerstraat,24.0,2000.0,Antwerpen,Antwerpen,,,,,"Adriaan Brouwerstraat,24.0,Antwerpen,Belgium",51.2275916,4.40346,"[(51.226888, 4.40069), (51.227016, 4.400711), (51.227145, 4.400754), (51.227231, 4.401011), (51.227574, 4.401355), (51.227703, 4.401398), (51.227875, 4.401398), (51.228004, 4.401441), (51.228089, 4.401698), (51.228261, 4.40187), (51.228518, 4.401956), (51.228518, 4.402041), (51.22839, 4.402084), (51.228218, 4.402084), (51.228089, 4.402127), (51.228046, 4.402256), (51.228046, 4.403973), (51.228089, 4.404101), (51.228218, 4.404144), (51.229076, 4.404144), (51.229205, 4.404187), (51.229248, 4.404316), (51.229205, 4.404445), (51.229076, 4.404488), (51.22839, 4.404488), (51.228261, 4.404531), (51.228218, 4.404659), (51.228218, 4.405003), (51.228261, 4.405131), (51.228347, 4.405217), (51.228347, 4.405303), (51.228261, 4.405389), (51.228218, 4.405518), (51.228218, 4.405689), (51.228175, 4.405818), (51.228089, 4.405818), (51.228004, 4.40556), (51.227832, 4.405389), (51.227746, 4.405389), (51.227703, 4.405518), (51.227703, 4.406548), (51.22766, 4.406676), (51.227574, 4.406676), (51.227531, 4.406548), (51.227531, 4.405518), (51.227489, 4.405389), (51.22736, 4.405346), (51.227231, 4.405389), (51.227188, 4.405518), (51.227188, 4.406033), (51.227145, 4.406161), (51.227059, 4.406161), (51.227016, 4.406033), (51.227016, 4.405861), (51.226974, 4.405732), (51.226888, 4.405646), (51.226802, 4.405389), (51.226544, 4.405303), (51.226373, 4.405131), (51.226373, 4.405046), (51.22663, 4.40496), (51.226673, 4.404831), (51.226673, 4.404488), (51.226716, 4.404359), (51.226802, 4.404273), (51.226845, 4.404144), (51.226845, 4.401913), (51.226802, 4.401784), (51.226716, 4.401698), (51.226673, 4.401569), (51.226716, 4.401441), (51.226802, 4.401355), (51.226845, 4.401226), (51.226802, 4.401097), (51.226544, 4.40084), (51.226501, 4.400711), (51.226544, 4.400582), (51.226673, 4.400539), (51.226802, 4.400561), (51.226888, 4.40069)]"
136,450.0,,Lamorinierestraat,,2018.0,Antwerpen,Antwerpen,,Y,,,"Lamorinierestraat,,Antwerpen,Belgium",51.2035955,4.420659,"[(51.202641, 4.4191), (51.202598, 4.419208), (51.202512, 4.419293), (51.202469, 4.419422), (51.202512, 4.419551), (51.202855, 4.419894), (51.203113, 4.41998), (51.203885, 4.420753), (51.204143, 4.420838), (51.204572, 4.421268), (51.204829, 4.421353), (51.205516, 4.42204), (51.205516, 4.422126), (51.205387, 4.422169), (51.205258, 4.422126), (51.205173, 4.42204), (51.204915, 4.421954), (51.204486, 4.421525), (51.2044, 4.421525), (51.204357, 4.421654), (51.204357, 4.422855), (51.204314, 4.422984), (51.204228, 4.42307), (51.204185, 4.423199), (51.204185, 4.423542), (51.204143, 4.423671), (51.204057, 4.423671), (51.204014, 4.423542), (51.204014, 4.422169), (51.204057, 4.42204), (51.204143, 4.421954), (51.204185, 4.421825), (51.204185, 4.421482), (51.204143, 4.421353), (51.203456, 4.420667), (51.203198, 4.420581), (51.202598, 4.41998), (51.20234, 4.419894), (51.202254, 4.419808), (51.201997, 4.419723), (51.201954, 4.419594), (51.201954, 4.419422), (51.201997, 4.419293), (51.202254, 4.419208), (51.202512, 4.41895), (51.202598, 4.418929), (51.202641, 4.418993), (51.202641, 4.4191)]"
137,451.0,,Riderveldlaan,5.0,2018.0,Antwerpen,Antwerpen,,Y,,,"Riderveldlaan,5.0,Antwerpen,Belgium",51.1906593,4.6555991,"[(51.193371, 4.649813), (51.193371, 4.649963), (51.193414, 4.650092), (51.1935, 4.650178), (51.193542, 4.650307), (51.193542, 4.650478), (51.193585, 4.650607), (51.193671, 4.650693), (51.193714, 4.650822), (51.193714, 4.651165), (51.193671, 4.651294), (51.193585, 4.65138), (51.1935, 4.651637), (51.193242, 4.651895), (51.193156, 4.652152), (51.19307, 4.652238), (51.193027, 4.652367), (51.193027, 4.65271), (51.192985, 4.652839), (51.192899, 4.652925), (51.192856, 4.653053), (51.192856, 4.653397), (51.192813, 4.653525), (51.192727, 4.653611), (51.192641, 4.653869), (51.192126, 4.654384), (51.191869, 4.654469), (51.190839, 4.655499), (51.190839, 4.655585), (51.191096, 4.655671), (51.191182, 4.655757), (51.19144, 4.655843), (51.191525, 4.655929), (51.191654, 4.655972), (51.191826, 4.655972), (51.191955, 4.656014), (51.19204, 4.6561), (51.192298, 4.656186), (51.192384, 4.656272), (51.192641, 4.656358), (51.192727, 4.656444), (51.192985, 4.656529), (51.193027, 4.656658), (51.192985, 4.656787), (51.192856, 4.65683), (51.192727, 4.656787), (51.192641, 4.656701), (51.192384, 4.656615), (51.192298, 4.656529), (51.19204, 4.656444), (51.191955, 4.656358), (51.191697, 4.656272), (51.191611, 4.656186), (51.191483, 4.656143), (51.191311, 4.656143), (51.191182, 4.6561), (51.191096, 4.656014), (51.190839, 4.655929), (51.190753, 4.655843), (51.190667, 4.655843), (51.190624, 4.655972), (51.190624, 4.656143), (51.190667, 4.656272), (51.190753, 4.656358), (51.190796, 4.656487), (51.190796, 4.657173), (51.190839, 4.657302), (51.190925, 4.657388), (51.190968, 4.657516), (51.190968, 4.65786), (51.190925, 4.657989), (51.190839, 4.657989), (51.190667, 4.657817), (51.190624, 4.657688), (51.190624, 4.65683), (51.190581, 4.656701), (51.190495, 4.656615), (51.190453, 4.656487), (51.190453, 4.6558), (51.19041, 4.655671), (51.189809, 4.65507), (51.189766, 4.654942), (51.189766, 4.65477), (51.189723, 4.654641), (51.189637, 4.654555), (51.189551, 4.654298), (51.189466, 4.654212), (51.189423, 4.654083), (51.189423, 4.653912), (51.18938, 4.653783), (51.189294, 4.653697), (51.189251, 4.653568), (51.189251, 4.652882), (51.189294, 4.652753), (51.18938, 4.652753), (51.189423, 4.652882), (51.189423, 4.653225), (51.189466, 4.653354), (51.189551, 4.65344), (51.189594, 4.653568), (51.189594, 4.653912), (51.189637, 4.65404), (51.189723, 4.654126), (51.189809, 4.654384), (51.189895, 4.654469), (51.189981, 4.654727), (51.190495, 4.655242), (51.190624, 4.655285), (51.190753, 4.655242), (51.19204, 4.653955), (51.192298, 4.653869), (51.192384, 4.653611), (51.19247, 4.653525), (51.192555, 4.653268), (51.192641, 4.653182), (51.192684, 4.653053), (51.192684, 4.65271), (51.192727, 4.652581), (51.192813, 4.652495), (51.192856, 4.652367), (51.192856, 4.652023), (51.192899, 4.651895), (51.193156, 4.651637), (51.193242, 4.65138), (51.193328, 4.651294), (51.193371, 4.651165), (51.193371, 4.65065), (51.193328, 4.650521), (51.193242, 4.650435), (51.193199, 4.650307), (51.193199, 4.649792), (51.193242, 4.649663), (51.193328, 4.649642), (51.193371, 4.649706), (51.193371, 4.649813)]"
237,616.0,,Belgiëlei,34.0,2018.0,Antwerpen,Antwerpen,,,,,"Belgiëlei,34.0,Antwerpen,Belgium",51.2053497,4.4175914,"[(51.203885, 4.415281), (51.203971, 4.415345), (51.204057, 4.415603), (51.204486, 4.416032), (51.204572, 4.416289), (51.204743, 4.416461), (51.204872, 4.416504), (51.205001, 4.416461), (51.205945, 4.415517), (51.206031, 4.415517), (51.206074, 4.415646), (51.206031, 4.415774), (51.205258, 4.416547), (51.205215, 4.416676), (51.205258, 4.416804), (51.205344, 4.41689), (51.20543, 4.417148), (51.205602, 4.417319), (51.20573, 4.417362), (51.205902, 4.417362), (51.206031, 4.417405), (51.206074, 4.417534), (51.206031, 4.417663), (51.205945, 4.417748), (51.205902, 4.417877), (51.205902, 4.418049), (51.205945, 4.418178), (51.206031, 4.418263), (51.206117, 4.418521), (51.206374, 4.418778), (51.20646, 4.419036), (51.206546, 4.419122), (51.206589, 4.41925), (51.206589, 4.419422), (51.206632, 4.419551), (51.206717, 4.419637), (51.20676, 4.419765), (51.20676, 4.419937), (51.206717, 4.420066), (51.206632, 4.420066), (51.20646, 4.419894), (51.206417, 4.419765), (51.206417, 4.419422), (51.206374, 4.419293), (51.206288, 4.419208), (51.206203, 4.41895), (51.205773, 4.418521), (51.205688, 4.418263), (51.20543, 4.418006), (51.205344, 4.417748), (51.205087, 4.417491), (51.205001, 4.417233), (51.204572, 4.416804), (51.204486, 4.416547), (51.204228, 4.416289), (51.204143, 4.416032), (51.203799, 4.415689), (51.203542, 4.415603), (51.203499, 4.415474), (51.203542, 4.415345), (51.203713, 4.415174), (51.203799, 4.415152), (51.203885, 4.415281)]"
303,808.0,,Frankrijklei,79.0,2018.0,Antwerpen,Antwerpen,,,,,"Frankrijklei,79.0,Antwerpen,Belgium",51.2151342,4.4127668,"[(51.21603, 4.410517), (51.215987, 4.410625), (51.215901, 4.41071), (51.215858, 4.410839), (51.215901, 4.410968), (51.215987, 4.411054), (51.21603, 4.411182), (51.21603, 4.411526), (51.216073, 4.411654), (51.216202, 4.411697), (51.216373, 4.411697), (51.216502, 4.411654), (51.216545, 4.411526), (51.216545, 4.411354), (51.216588, 4.411225), (51.216717, 4.411182), (51.216846, 4.411225), (51.216888, 4.411354), (51.216888, 4.412384), (51.216846, 4.412513), (51.216717, 4.412556), (51.216588, 4.412513), (51.216545, 4.412384), (51.216545, 4.412212), (51.216502, 4.412084), (51.216373, 4.412041), (51.215858, 4.412041), (51.21573, 4.412084), (51.215687, 4.412212), (51.21573, 4.412341), (51.216245, 4.412856), (51.216502, 4.412942), (51.216588, 4.413028), (51.216846, 4.413114), (51.216888, 4.413242), (51.216888, 4.413414), (51.216846, 4.413543), (51.21676, 4.413629), (51.216717, 4.413757), (51.216717, 4.413929), (51.21676, 4.414058), (51.217017, 4.414315), (51.217017, 4.414401), (51.216888, 4.414444), (51.21676, 4.414401), (51.216674, 4.414315), (51.216588, 4.414315), (51.216331, 4.414573), (51.216202, 4.414616), (51.216073, 4.414573), (51.215987, 4.414487), (51.215901, 4.414487), (51.21573, 4.414659), (51.215644, 4.414916), (51.215558, 4.415002), (51.215472, 4.415259), (51.215343, 4.415302), (51.215215, 4.415259), (51.215129, 4.415002), (51.215043, 4.414916), (51.215043, 4.41483), (51.215129, 4.414744), (51.215215, 4.414487), (51.215301, 4.414401), (51.215343, 4.414272), (51.215343, 4.414101), (51.215301, 4.413972), (51.215043, 4.413714), (51.214957, 4.413457), (51.214871, 4.413371), (51.214828, 4.413242), (51.214871, 4.413114), (51.214957, 4.413028), (51.215, 4.412899), (51.214957, 4.41277), (51.214871, 4.412684), (51.214786, 4.412427), (51.214614, 4.412255), (51.214356, 4.412169), (51.214271, 4.411912), (51.213927, 4.411569), (51.21367, 4.411483), (51.213584, 4.411225), (51.213498, 4.411139), (51.213412, 4.410882), (51.213326, 4.410796), (51.213284, 4.410667), (51.213326, 4.410539), (51.213412, 4.410539), (51.214442, 4.411569), (51.214528, 4.411826), (51.214957, 4.412255), (51.215043, 4.412513), (51.215129, 4.412513), (51.215172, 4.412384), (51.215172, 4.412212), (51.215129, 4.412084), (51.215043, 4.411998), (51.214957, 4.41174), (51.214528, 4.411311), (51.214442, 4.411054), (51.214185, 4.410796), (51.214142, 4.410667), (51.214185, 4.410539), (51.214314, 4.410496), (51.214442, 4.410539), (51.214528, 4.410796), (51.214957, 4.411225), (51.215043, 4.411483), (51.215386, 4.411826), (51.215472, 4.411826), (51.215644, 4.411654), (51.215687, 4.411526), (51.215687, 4.410496), (51.21573, 4.410367), (51.215858, 4.410324), (51.215987, 4.410346), (51.21603, 4.41041), (51.21603, 4.410517)]"
335,848.0,,Pr. Kennedypark,2.0,8500.0,Kortrijk,West-Vlaanderen,,,,,"Pr. Kennedypark,2.0,West-Vlaanderen,Belgium",50.8004697,3.2735276,"[(50.800438, 3.272917), (50.800438, 3.273067), (50.800481, 3.273196), (50.800567, 3.273282), (50.80061, 3.273411), (50.80061, 3.273754), (50.800653, 3.273883), (50.800738, 3.273969), (50.800781, 3.274097), (50.800781, 3.274441), (50.800824, 3.27457), (50.80091, 3.274655), (50.800953, 3.274784), (50.800953, 3.274956), (50.800996, 3.275084), (50.801125, 3.275127), (50.801253, 3.275084), (50.801511, 3.274827), (50.801597, 3.274827), (50.80164, 3.274956), (50.80164, 3.275471), (50.801597, 3.275599), (50.801511, 3.275599), (50.801425, 3.275342), (50.801339, 3.275342), (50.801167, 3.275514), (50.801125, 3.275642), (50.801125, 3.275986), (50.801167, 3.276114), (50.801253, 3.2762), (50.801296, 3.276329), (50.801296, 3.277016), (50.801253, 3.277144), (50.801167, 3.277144), (50.801125, 3.277016), (50.801125, 3.276672), (50.801082, 3.276544), (50.800996, 3.276458), (50.800953, 3.276329), (50.800953, 3.276157), (50.80091, 3.276029), (50.800824, 3.276029), (50.800738, 3.276114), (50.80061, 3.276157), (50.800481, 3.276114), (50.800438, 3.275986), (50.800438, 3.275814), (50.800481, 3.275685), (50.800567, 3.275599), (50.800653, 3.275342), (50.800738, 3.275256), (50.800781, 3.275127), (50.800781, 3.274956), (50.800738, 3.274827), (50.800653, 3.274741), (50.80061, 3.274612), (50.80061, 3.274441), (50.800567, 3.274312), (50.800481, 3.274226), (50.800438, 3.274097), (50.800438, 3.273754), (50.800395, 3.273625), (50.800309, 3.27354), (50.800266, 3.273411), (50.800266, 3.273239), (50.800223, 3.27311), (50.800138, 3.273025), (50.800095, 3.272896), (50.800138, 3.272767), (50.800266, 3.272724), (50.800395, 3.272746), (50.800438, 3.27281), (50.800438, 3.272917)]"
425,1012.0,,Benzineweg,11.0,2020.0,Antwerpen,Antwerpen,,,,,"Benzineweg,11.0,Antwerpen,Belgium",51.1966858,4.3495278,"[(51.196461, 4.347174), (51.196461, 4.347668), (51.196504, 4.347796), (51.196589, 4.347882), (51.196632, 4.348011), (51.196632, 4.348526), (51.196675, 4.348655), (51.196761, 4.348741), (51.196804, 4.348869), (51.196804, 4.349556), (51.196847, 4.349685), (51.196933, 4.349771), (51.196976, 4.349899), (51.196976, 4.350586), (51.197019, 4.350715), (51.197104, 4.350801), (51.197147, 4.350929), (51.197147, 4.352646), (51.197104, 4.352775), (51.197019, 4.35286), (51.196976, 4.352989), (51.196976, 4.353333), (51.196933, 4.353461), (51.196847, 4.353461), (51.196804, 4.353333), (51.196804, 4.352474), (51.196847, 4.352345), (51.196933, 4.35226), (51.196976, 4.352131), (51.196976, 4.351273), (51.196933, 4.351144), (51.196847, 4.351058), (51.196804, 4.350929), (51.196804, 4.350414), (51.196761, 4.350286), (51.196675, 4.3502), (51.196632, 4.350071), (51.196632, 4.349384), (51.196589, 4.349256), (51.196504, 4.34917), (51.196461, 4.349041), (51.196461, 4.348354), (51.196418, 4.348226), (51.196332, 4.34814), (51.196289, 4.348011), (51.196289, 4.347496), (51.196246, 4.347367), (51.19616, 4.347281), (51.196117, 4.347153), (51.19616, 4.347024), (51.196289, 4.346981), (51.196418, 4.347003), (51.196461, 4.347067), (51.196461, 4.347174)]"
430,1020.0,,Brusselstraat,59.0,2018.0,Antwerpen,Antwerpen,,,,,"Brusselstraat,59.0,Antwerpen,Belgium",51.2002093,4.3920787,"[(51.199207, 4.390948), (51.199164, 4.391055), (51.199079, 4.391141), (51.198993, 4.391398), (51.198907, 4.391484), (51.198907, 4.39157), (51.199036, 4.391613), (51.199722, 4.391613), (51.199851, 4.391656), (51.199937, 4.391742), (51.200066, 4.391785), (51.200194, 4.391742), (51.20028, 4.391656), (51.200538, 4.39157), (51.200624, 4.391484), (51.200709, 4.391484), (51.200752, 4.391613), (51.200709, 4.391742), (51.200452, 4.391828), (51.200409, 4.391956), (51.200452, 4.392085), (51.200624, 4.392257), (51.200881, 4.392343), (51.201138, 4.3926), (51.201267, 4.392643), (51.201439, 4.392643), (51.201568, 4.3926), (51.201611, 4.392471), (51.201611, 4.3923), (51.201653, 4.392171), (51.201782, 4.392128), (51.201911, 4.392171), (51.201954, 4.3923), (51.201911, 4.392428), (51.201825, 4.392514), (51.201782, 4.392643), (51.201782, 4.392815), (51.201825, 4.392943), (51.202083, 4.393201), (51.202126, 4.39333), (51.202083, 4.393458), (51.201997, 4.393458), (51.201911, 4.393373), (51.201653, 4.393287), (51.201396, 4.393029), (51.201138, 4.392943), (51.200881, 4.392686), (51.200624, 4.3926), (51.200538, 4.392514), (51.200452, 4.392514), (51.200409, 4.392643), (51.200409, 4.393501), (51.200452, 4.39363), (51.200538, 4.393716), (51.200581, 4.393845), (51.200581, 4.394016), (51.200624, 4.394145), (51.200752, 4.394188), (51.200881, 4.394145), (51.200967, 4.394059), (51.201053, 4.394059), (51.201096, 4.394188), (51.201053, 4.394317), (51.200967, 4.394403), (51.200967, 4.394488), (51.201053, 4.394574), (51.201096, 4.394703), (51.201053, 4.394832), (51.200924, 4.394875), (51.200795, 4.394832), (51.200752, 4.394703), (51.200752, 4.394531), (51.200709, 4.394403), (51.200624, 4.394403), (51.200538, 4.394488), (51.200409, 4.394531), (51.200066, 4.394531), (51.199937, 4.394574), (51.199851, 4.39466), (51.199722, 4.394703), (51.199594, 4.39466), (51.199551, 4.394531), (51.199594, 4.394403), (51.199679, 4.394317), (51.199722, 4.394188), (51.199722, 4.39333), (51.199679, 4.393201), (51.199594, 4.393115), (51.199551, 4.392986), (51.199551, 4.392128), (51.199508, 4.391999), (51.199379, 4.391956), (51.199207, 4.391956), (51.199079, 4.391913), (51.198993, 4.391828), (51.198864, 4.391785), (51.198735, 4.391828), (51.198649, 4.392085), (51.198392, 4.392343), (51.198306, 4.3926), (51.198177, 4.392643), (51.198049, 4.3926), (51.198049, 4.392514), (51.198134, 4.392428), (51.19822, 4.392171), (51.198306, 4.392085), (51.198392, 4.391828), (51.198478, 4.391742), (51.198564, 4.391484), (51.198649, 4.391398), (51.198735, 4.391141), (51.199079, 4.390798), (51.199164, 4.390776), (51.199207, 4.390841), (51.199207, 4.390948)]"
528,1142.0,,Lange Gasthuisstraat,20.0,2018.0,Antwerpen,Antwerpen,,,,,"Lange Gasthuisstraat,20.0,Antwerpen,Belgium",51.21458,4.4050147,"[(51.214828, 4.403136), (51.214828, 4.403286), (51.214786, 4.403415), (51.214356, 4.403844), (51.214271, 4.404101), (51.214185, 4.404187), (51.214142, 4.404316), (51.214142, 4.404488), (51.214185, 4.404616), (51.214356, 4.404788), (51.214485, 4.404831), (51.214657, 4.404831), (51.214786, 4.404874), (51.214871, 4.40496), (51.215, 4.405003), (51.215172, 4.405003), (51.215301, 4.40496), (51.215386, 4.404874), (51.215644, 4.404788), (51.215816, 4.404616), (51.215858, 4.404488), (51.215858, 4.403973), (51.215901, 4.403844), (51.215987, 4.403844), (51.21603, 4.403973), (51.21603, 4.404316), (51.216073, 4.404445), (51.216202, 4.404488), (51.216373, 4.404488), (51.216502, 4.404445), (51.216588, 4.404359), (51.216674, 4.404359), (51.216717, 4.404488), (51.216674, 4.404616), (51.216416, 4.404874), (51.216416, 4.40496), (51.216502, 4.405046), (51.216588, 4.405303), (51.216674, 4.405389), (51.216674, 4.405475), (51.216545, 4.405518), (51.216416, 4.405475), (51.216245, 4.405303), (51.216159, 4.405046), (51.21603, 4.405003), (51.215858, 4.405003), (51.21573, 4.405046), (51.215644, 4.405131), (51.215386, 4.405217), (51.215343, 4.405346), (51.215343, 4.406719), (51.215301, 4.406848), (51.215043, 4.407105), (51.215, 4.407234), (51.215, 4.407406), (51.214957, 4.407535), (51.214871, 4.407535), (51.214828, 4.407406), (51.214828, 4.407234), (51.214786, 4.407105), (51.214657, 4.407063), (51.21397, 4.407063), (51.213841, 4.40702), (51.213841, 4.406934), (51.213927, 4.406848), (51.213927, 4.406762), (51.21367, 4.406676), (51.21367, 4.40659), (51.213927, 4.406333), (51.214013, 4.406075), (51.214142, 4.406033), (51.214657, 4.406033), (51.214786, 4.40599), (51.214828, 4.405861), (51.214828, 4.405346), (51.214786, 4.405217), (51.214657, 4.405174), (51.21397, 4.405174), (51.213841, 4.405131), (51.213756, 4.405046), (51.213627, 4.405003), (51.213284, 4.405003), (51.213155, 4.405046), (51.213069, 4.405303), (51.212983, 4.405389), (51.21294, 4.405518), (51.21294, 4.405861), (51.212897, 4.40599), (51.212726, 4.406161), (51.21264, 4.406161), (51.212597, 4.406033), (51.212597, 4.405861), (51.21264, 4.405732), (51.212726, 4.405646), (51.212769, 4.405518), (51.212726, 4.405389), (51.212597, 4.405346), (51.212468, 4.405389), (51.212382, 4.405475), (51.212296, 4.405475), (51.212254, 4.405346), (51.212296, 4.405217), (51.212468, 4.405046), (51.212597, 4.405003), (51.212769, 4.405003), (51.212897, 4.40496), (51.213069, 4.404788), (51.213112, 4.404659), (51.213112, 4.404488), (51.213155, 4.404359), (51.213284, 4.404316), (51.213412, 4.404359), (51.213498, 4.404445), (51.213584, 4.404445), (51.214099, 4.40393), (51.214185, 4.403672), (51.214442, 4.403415), (51.214528, 4.403157), (51.2147, 4.402986), (51.214786, 4.402964), (51.214828, 4.403028), (51.214828, 4.403136)]"
560,1177.0,,Groenenborgerlaan ,171.0,2020.0,Antwerpen,Antwerpen,,,,,"Groenenborgerlaan ,171.0,Antwerpen,Belgium",51.175984,4.4128605,"[(51.177578, 4.411204), (51.177535, 4.411311), (51.177278, 4.411397), (51.17702, 4.411654), (51.176763, 4.41174), (51.176505, 4.411998), (51.176248, 4.412084), (51.176076, 4.412255), (51.176076, 4.412341), (51.176162, 4.412427), (51.176205, 4.412556), (51.176205, 4.412727), (51.176248, 4.412856), (51.176333, 4.412942), (51.176376, 4.413071), (51.176376, 4.413242), (51.176419, 4.413371), (51.176505, 4.413457), (51.176548, 4.413586), (51.176548, 4.413757), (51.176591, 4.413886), (51.176677, 4.413972), (51.17672, 4.414101), (51.17672, 4.414272), (51.176763, 4.414401), (51.176848, 4.414487), (51.176891, 4.414616), (51.176891, 4.414787), (51.176934, 4.414916), (51.17702, 4.415002), (51.177063, 4.415131), (51.177063, 4.415817), (51.17702, 4.415946), (51.176934, 4.415946), (51.176591, 4.415603), (51.176591, 4.415517), (51.176677, 4.415431), (51.176677, 4.415345), (51.176591, 4.415259), (51.176548, 4.415131), (51.176548, 4.414959), (51.176505, 4.41483), (51.176419, 4.414744), (51.176376, 4.414616), (51.176376, 4.414444), (51.176333, 4.414315), (51.176248, 4.414229), (51.176205, 4.414101), (51.176205, 4.413929), (51.176162, 4.4138), (51.17599, 4.413629), (51.175904, 4.413629), (51.175861, 4.413757), (51.175861, 4.414444), (51.175818, 4.414573), (51.175733, 4.414659), (51.17569, 4.414787), (51.17569, 4.415474), (51.175647, 4.415603), (51.175561, 4.415603), (51.175518, 4.415474), (51.175518, 4.413586), (51.175561, 4.413457), (51.175647, 4.413371), (51.17569, 4.413242), (51.17569, 4.412212), (51.175647, 4.412084), (51.175475, 4.411912), (51.175389, 4.411912), (51.175218, 4.412084), (51.175175, 4.412212), (51.175175, 4.412727), (51.175132, 4.412856), (51.175003, 4.412899), (51.174874, 4.412856), (51.174703, 4.412684), (51.17466, 4.412556), (51.17466, 4.412384), (51.174703, 4.412255), (51.175561, 4.411397), (51.17569, 4.411354), (51.175818, 4.411397), (51.175861, 4.411526), (51.175861, 4.411697), (51.175904, 4.411826), (51.176033, 4.411869), (51.176162, 4.411826), (51.176248, 4.41174), (51.176505, 4.411654), (51.176934, 4.411225), (51.177192, 4.411139), (51.177278, 4.411054), (51.177406, 4.411011), (51.177535, 4.411032), (51.177578, 4.411097), (51.177578, 4.411204)]"
