,id,type,address,number,postal_code,municipality,province,location,public,available,hours,Full_Address,Lat,Lon,WT_3m1p5
54,277.0,Appareil Mobile- Mobiel apparaat,Adriaan Brouwerstraat,24.0,2000.0,Antwerpen,Antwerpen,,,,,"Adriaan Brouwerstraat,24.0,Antwerpen,Belgium",51.2275916,4.40346,"[(51.226888, 4.40069), (51.227016, 4.400711), (51.227145, 4.400754), (51.227231, 4.401011), (51.227574, 4.401355), (51.227703, 4.401398), (51.227875, 4.401398), (51.228004, 4.401441), (51.228089, 4.401698), (51.228261, 4.40187), (51.228518, 4.401956), (51.228518, 4.402041), (51.22839, 4.402084), (51.228218, 4.402084), (51.228089, 4.402127), (51.228046, 4.402256), (51.228046, 4.403973), (51.228089, 4.404101), (51.228218, 4.404144), (51.229076, 4.404144), (51.229205, 4.404187), (51.229248, 4.404316), (51.229205, 4.404445), (51.229076, 4.404488), (51.22839, 4.404488), (51.228261, 4.404531), (51.228218, 4.404659), (51.228218, 4.405003), (51.228261, 4.405131), (51.228347, 4.405217), (51.228347, 4.405303), (51.228261, 4.405389), (51.228218, 4.405518), (51.228218, 4.405689), (51.228175, 4.405818), (51.228089, 4.405818), (51.228004, 4.40556), (51.227832, 4.405389), (51.227746, 4.405389), (51.227703, 4.405518), (51.227703, 4.406548), (51.22766, 4.406676), (51.227574, 4.406676), (51.227531, 4.406548), (51.227531, 4.405518), (51.227489, 4.405389), (51.22736, 4.405346), (51.227231, 4.405389), (51.227188, 4.405518), (51.227188, 4.406033), (51.227145, 4.406161), (51.227059, 4.406161), (51.227016, 4.406033), (51.227016, 4.405861), (51.226974, 4.405732), (51.226888, 4.405646), (51.226802, 4.405389), (51.226544, 4.405303), (51.226373, 4.405131), (51.226373, 4.405046), (51.22663, 4.40496), (51.226673, 4.404831), (51.226673, 4.404488), (51.226716, 4.404359), (51.226802, 4.404273), (51.226845, 4.404144), (51.226845, 4.401913), (51.226802, 4.401784), (51.226716, 4.401698), (51.226673, 4.401569), (51.226716, 4.401441), (51.226802, 4.401355), (51.226845, 4.401226), (51.226802, 4.401097), (51.226544, 4.40084), (51.226501, 4.400711), (51.226544, 4.400582), (51.226673, 4.400539), (51.226802, 4.400561), (51.226888, 4.40069)]"
56,310.0,,Koninginnelaan,1.0,8400.0,Oostende,West-Vlaanderen,,,,,"Koninginnelaan,1.0,West-Vlaanderen,Belgium",51.1857528,2.8137089,"[(51.184616, 2.810633), (51.184659, 2.81074), (51.184745, 2.810826), (51.184788, 2.810955), (51.184788, 2.811127), (51.184831, 2.811255), (51.184916, 2.811341), (51.185002, 2.811599), (51.185131, 2.811642), (51.18526, 2.811599), (51.185861, 2.810998), (51.185946, 2.810998), (51.186118, 2.81117), (51.186161, 2.811298), (51.186161, 2.81147), (51.186204, 2.811599), (51.18629, 2.811599), (51.186547, 2.811341), (51.186676, 2.811298), (51.186805, 2.811341), (51.186805, 2.811427), (51.186719, 2.811513), (51.186633, 2.81177), (51.186376, 2.811856), (51.186376, 2.811942), (51.186461, 2.812028), (51.186504, 2.812157), (51.186504, 2.812328), (51.186547, 2.812457), (51.186633, 2.812543), (51.186719, 2.8128), (51.186805, 2.812886), (51.186891, 2.813144), (51.187019, 2.813187), (51.187148, 2.813144), (51.187234, 2.812886), (51.187406, 2.812715), (51.187491, 2.812715), (51.187534, 2.812843), (51.187534, 2.813015), (51.187491, 2.813144), (51.186204, 2.814431), (51.186204, 2.814517), (51.18629, 2.814603), (51.186376, 2.81486), (51.186504, 2.814903), (51.186633, 2.81486), (51.187062, 2.814431), (51.187191, 2.814388), (51.18732, 2.814431), (51.187363, 2.81456), (51.18732, 2.814689), (51.186719, 2.815289), (51.186676, 2.815418), (51.186676, 2.81559), (51.186719, 2.815719), (51.186805, 2.815804), (51.186891, 2.816062), (51.186976, 2.816148), (51.187019, 2.816277), (51.187019, 2.816448), (51.187062, 2.816577), (51.187148, 2.816663), (51.187191, 2.816792), (51.187148, 2.81692), (51.187019, 2.816963), (51.186891, 2.81692), (51.186848, 2.816792), (51.186848, 2.81662), (51.186805, 2.816491), (51.186719, 2.816405), (51.186633, 2.816148), (51.186547, 2.816062), (51.186504, 2.815933), (51.186504, 2.815762), (51.186461, 2.815633), (51.186376, 2.815633), (51.186204, 2.815804), (51.186161, 2.815933), (51.186161, 2.816277), (51.186118, 2.816405), (51.186032, 2.816405), (51.185946, 2.816148), (51.185861, 2.816062), (51.185818, 2.815933), (51.185818, 2.815762), (51.185861, 2.815633), (51.186118, 2.815375), (51.186161, 2.815247), (51.186161, 2.815075), (51.186118, 2.814946), (51.185946, 2.814775), (51.185689, 2.814689), (51.185689, 2.814603), (51.185775, 2.814517), (51.185818, 2.814388), (51.185818, 2.814217), (51.185775, 2.814088), (51.185646, 2.814045), (51.185517, 2.814088), (51.185431, 2.814345), (51.185346, 2.814431), (51.18526, 2.814689), (51.185174, 2.814689), (51.185088, 2.814431), (51.184831, 2.814174), (51.184788, 2.814045), (51.184831, 2.813916), (51.185088, 2.813659), (51.185131, 2.81353), (51.185088, 2.813401), (51.185002, 2.813315), (51.184916, 2.813058), (51.184831, 2.812972), (51.184745, 2.812715), (51.184659, 2.812629), (51.184573, 2.812371), (51.184487, 2.812285), (51.184402, 2.812028), (51.184316, 2.811942), (51.184273, 2.811813), (51.184273, 2.811642), (51.184316, 2.811513), (51.184573, 2.811255), (51.184573, 2.81117), (51.184487, 2.811084), (51.184402, 2.810826), (51.184316, 2.81074), (51.184273, 2.810612), (51.184316, 2.810483), (51.184444, 2.81044), (51.184573, 2.810462), (51.184616, 2.810526), (51.184616, 2.810633)]"
57,311.0,,Northlaan,13.0,8400.0,Oostende,West-Vlaanderen,,,,,"Northlaan,13.0,West-Vlaanderen,Belgium",51.2180627,2.8892599,"[(51.219163, 2.887151), (51.219249, 2.887216), (51.219335, 2.887301), (51.219592, 2.887387), (51.219678, 2.887645), (51.219764, 2.887731), (51.21985, 2.887988), (51.219935, 2.888074), (51.219935, 2.88816), (51.21985, 2.888246), (51.219764, 2.888503), (51.219635, 2.888546), (51.219506, 2.888503), (51.21942, 2.888246), (51.219292, 2.888203), (51.219163, 2.888246), (51.218305, 2.889104), (51.218219, 2.889361), (51.217618, 2.889962), (51.217532, 2.89022), (51.217275, 2.890306), (51.217189, 2.890563), (51.21676, 2.890992), (51.216717, 2.891121), (51.21676, 2.89125), (51.216846, 2.891335), (51.216888, 2.891464), (51.216846, 2.891593), (51.216717, 2.891636), (51.216588, 2.891593), (51.216502, 2.891335), (51.216416, 2.891335), (51.216331, 2.891593), (51.216202, 2.891636), (51.216073, 2.891593), (51.21603, 2.891464), (51.216073, 2.891335), (51.216331, 2.891078), (51.216416, 2.890821), (51.216674, 2.890735), (51.21676, 2.890477), (51.217875, 2.889361), (51.217961, 2.889104), (51.218562, 2.888503), (51.218648, 2.888246), (51.218905, 2.88816), (51.218991, 2.887902), (51.219077, 2.887816), (51.21912, 2.887688), (51.21912, 2.887516), (51.219077, 2.887387), (51.218991, 2.887301), (51.218948, 2.887173), (51.218991, 2.887044), (51.219077, 2.887022), (51.219163, 2.887151)]"
58,312.0,,Kursaal - Oosthelling,12.0,8400.0,Oostende,West-Vlaanderen,,,,,"Kursaal - Oosthelling,12.0,West-Vlaanderen,Belgium",51.232146,2.9126781,"[(51.232209, 2.911012), (51.232295, 2.911077), (51.232467, 2.911248), (51.232553, 2.911506), (51.232638, 2.911592), (51.232724, 2.911849), (51.23281, 2.911935), (51.232896, 2.912192), (51.232982, 2.912278), (51.233025, 2.912407), (51.233025, 2.912579), (51.233068, 2.912707), (51.233153, 2.912793), (51.233239, 2.913051), (51.233325, 2.913136), (51.233368, 2.913265), (51.233368, 2.913437), (51.233411, 2.913566), (51.233668, 2.913823), (51.233711, 2.913952), (51.233668, 2.914081), (51.23354, 2.914124), (51.233411, 2.914081), (51.233325, 2.913823), (51.233239, 2.913737), (51.233153, 2.91348), (51.233068, 2.913394), (51.232982, 2.913136), (51.232896, 2.913051), (51.232853, 2.912922), (51.232853, 2.91275), (51.23281, 2.912621), (51.232724, 2.912536), (51.232638, 2.912278), (51.232553, 2.912278), (51.232467, 2.912536), (51.232209, 2.912793), (51.232123, 2.913051), (51.231866, 2.913136), (51.231866, 2.913222), (51.232467, 2.913823), (51.232553, 2.914081), (51.232638, 2.914166), (51.232724, 2.914424), (51.232982, 2.914681), (51.233025, 2.91481), (51.232982, 2.914939), (51.232853, 2.914982), (51.232724, 2.914939), (51.232638, 2.914681), (51.232467, 2.91451), (51.232338, 2.914467), (51.232209, 2.91451), (51.232123, 2.914596), (51.231995, 2.914639), (51.231866, 2.914596), (51.23178, 2.914338), (51.231651, 2.914295), (51.231308, 2.914295), (51.231179, 2.914252), (51.231136, 2.914124), (51.231179, 2.913995), (51.231437, 2.913909), (51.23148, 2.91378), (51.231437, 2.913651), (51.231351, 2.913566), (51.231265, 2.913308), (51.231136, 2.913265), (51.231008, 2.913308), (51.230965, 2.913437), (51.230965, 2.91378), (51.230922, 2.913909), (51.230793, 2.913952), (51.230664, 2.913909), (51.230578, 2.913651), (51.230493, 2.913566), (51.23045, 2.913437), (51.23045, 2.913265), (51.230493, 2.913136), (51.230922, 2.912707), (51.230922, 2.912621), (51.230836, 2.912536), (51.230793, 2.912407), (51.230836, 2.912278), (51.230965, 2.912235), (51.231093, 2.912278), (51.231694, 2.912879), (51.23178, 2.912879), (51.232123, 2.912536), (51.232209, 2.912278), (51.232467, 2.912021), (51.232467, 2.911935), (51.232381, 2.911849), (51.232338, 2.91172), (51.232338, 2.911549), (51.232295, 2.91142), (51.231952, 2.911077), (51.231823, 2.911034), (51.231694, 2.911077), (51.231608, 2.911162), (51.23148, 2.911205), (51.231308, 2.911205), (51.231179, 2.911162), (51.231179, 2.911077), (51.231437, 2.910991), (51.231523, 2.910905), (51.231651, 2.910862), (51.231995, 2.910862), (51.232123, 2.910883), (51.232209, 2.911012)]"
59,313.0,,Leopold Van Tyghemlaan,62.0,8400.0,Oostende,West-Vlaanderen,,,,,"Leopold Van Tyghemlaan,62.0,West-Vlaanderen,Belgium",51.2162365,2.8874038,"[(51.217189, 2.884576), (51.217103, 2.884641), (51.217017, 2.884898), (51.21676, 2.885156), (51.216674, 2.885413), (51.216588, 2.885499), (51.216502, 2.885756), (51.216416, 2.885842), (51.216331, 2.8861), (51.216245, 2.886186), (51.216202, 2.886314), (51.216202, 2.887001), (51.216245, 2.88713), (51.216331, 2.887216), (51.216416, 2.887473), (51.216502, 2.887559), (51.216588, 2.887816), (51.216674, 2.887902), (51.21676, 2.88816), (51.216846, 2.888246), (51.216888, 2.888374), (51.216888, 2.888546), (51.216931, 2.888675), (51.21706, 2.888718), (51.217189, 2.888675), (51.217275, 2.888589), (51.217403, 2.888546), (51.217532, 2.888589), (51.217575, 2.888718), (51.217532, 2.888846), (51.217275, 2.889104), (51.217232, 2.889233), (51.217232, 2.889404), (51.217275, 2.889533), (51.21736, 2.889619), (51.217403, 2.889748), (51.217403, 2.889919), (51.21736, 2.890048), (51.217275, 2.890048), (51.217103, 2.889876), (51.21706, 2.889748), (51.21706, 2.889576), (51.217017, 2.889447), (51.216931, 2.889361), (51.216846, 2.889104), (51.21676, 2.889104), (51.216674, 2.889361), (51.216159, 2.889876), (51.21603, 2.889919), (51.215901, 2.889876), (51.215858, 2.889748), (51.215901, 2.889619), (51.216159, 2.889361), (51.216202, 2.889233), (51.216202, 2.889061), (51.216159, 2.888932), (51.215901, 2.888675), (51.215858, 2.888546), (51.215858, 2.888374), (51.215816, 2.888246), (51.215644, 2.888074), (51.215558, 2.888074), (51.215515, 2.888203), (51.215515, 2.888374), (51.215472, 2.888503), (51.215215, 2.888761), (51.215172, 2.888889), (51.215172, 2.889061), (51.215129, 2.88919), (51.215043, 2.88919), (51.215, 2.889061), (51.215, 2.888546), (51.215043, 2.888417), (51.215129, 2.888331), (51.215129, 2.888246), (51.215043, 2.88816), (51.214957, 2.887902), (51.214871, 2.887816), (51.214786, 2.887559), (51.2147, 2.887473), (51.214657, 2.887344), (51.214657, 2.887173), (51.2147, 2.887044), (51.214786, 2.887044), (51.214957, 2.887216), (51.215043, 2.887473), (51.215129, 2.887559), (51.215215, 2.887816), (51.215343, 2.887859), (51.215472, 2.887816), (51.215515, 2.887688), (51.215472, 2.887559), (51.215386, 2.887473), (51.215301, 2.887216), (51.215215, 2.88713), (51.215172, 2.887001), (51.215172, 2.886486), (51.215215, 2.886357), (51.215386, 2.886186), (51.215472, 2.886186), (51.215515, 2.886314), (51.215515, 2.886486), (51.215472, 2.886615), (51.215386, 2.886701), (51.215386, 2.886786), (51.215472, 2.886872), (51.215558, 2.88713), (51.215644, 2.887216), (51.21573, 2.887473), (51.215816, 2.887473), (51.215987, 2.887301), (51.21603, 2.887173), (51.215987, 2.887044), (51.215901, 2.886958), (51.215858, 2.886829), (51.215858, 2.886314), (51.215901, 2.886186), (51.215987, 2.8861), (51.216073, 2.885842), (51.216159, 2.885756), (51.216245, 2.885499), (51.216331, 2.885413), (51.216416, 2.885156), (51.216674, 2.884898), (51.21676, 2.884641), (51.216931, 2.884469), (51.21706, 2.884426), (51.217189, 2.884448), (51.217232, 2.884512), (51.217189, 2.884576)]"
63,318.0,,Interleuvenlaan ,58.0,3001.0,Leuven,Vlaams-Brabant,,,,,"Interleuvenlaan ,58.0,Vlaams-Brabant,Belgium",50.8507187,4.7303674,"[(50.851078, 4.727919), (50.851078, 4.728756), (50.851035, 4.728885), (50.850949, 4.728971), (50.850906, 4.729099), (50.850906, 4.730129), (50.850863, 4.730258), (50.850778, 4.730344), (50.850735, 4.730473), (50.850735, 4.731846), (50.850692, 4.731975), (50.850606, 4.73206), (50.850563, 4.732189), (50.850563, 4.733219), (50.85052, 4.733348), (50.850391, 4.733391), (50.85022, 4.733391), (50.850091, 4.733348), (50.850048, 4.733219), (50.850091, 4.73309), (50.850348, 4.733005), (50.850391, 4.732876), (50.850391, 4.732533), (50.850348, 4.732404), (50.850263, 4.732404), (50.850177, 4.732661), (50.850048, 4.732704), (50.849919, 4.732661), (50.849876, 4.732533), (50.849876, 4.732361), (50.849919, 4.732232), (50.850091, 4.73206), (50.850348, 4.731975), (50.850391, 4.731846), (50.850391, 4.731503), (50.850434, 4.731374), (50.85052, 4.731288), (50.850563, 4.731159), (50.850563, 4.729958), (50.850606, 4.729829), (50.850692, 4.729743), (50.850735, 4.729614), (50.850735, 4.728241), (50.850778, 4.728112), (50.850863, 4.728026), (50.850949, 4.727769), (50.851035, 4.727747), (50.851078, 4.727812), (50.851078, 4.727919)]"
67,323.0,,Interleuven,58.0,3001.0,Leuven,Vlaams-Brabant,,,,,"Interleuven,58.0,Vlaams-Brabant,Belgium",50.8826624,4.6967705,"[(50.883179, 4.69393), (50.883179, 4.69408), (50.883136, 4.694209), (50.88305, 4.694295), (50.883007, 4.694424), (50.883007, 4.69511), (50.88305, 4.695239), (50.883179, 4.695282), (50.88335, 4.695282), (50.883479, 4.695325), (50.883651, 4.695497), (50.883651, 4.695582), (50.883522, 4.695625), (50.88335, 4.695625), (50.883222, 4.695668), (50.883222, 4.695754), (50.883307, 4.69584), (50.883307, 4.695926), (50.883179, 4.695969), (50.883007, 4.695969), (50.882878, 4.696012), (50.882707, 4.696183), (50.882664, 4.696312), (50.882664, 4.696484), (50.882707, 4.696612), (50.882964, 4.696698), (50.88305, 4.696784), (50.883179, 4.696827), (50.883307, 4.696784), (50.883393, 4.696527), (50.883479, 4.696441), (50.883522, 4.696312), (50.883522, 4.69614), (50.883565, 4.696012), (50.883651, 4.696012), (50.883694, 4.69614), (50.883694, 4.696827), (50.883651, 4.696956), (50.883565, 4.697042), (50.883522, 4.69717), (50.883565, 4.697299), (50.883737, 4.697471), (50.883994, 4.697556), (50.884166, 4.697728), (50.884209, 4.697857), (50.884209, 4.698715), (50.884166, 4.698844), (50.88408, 4.698844), (50.884037, 4.698715), (50.884037, 4.6982), (50.883994, 4.698071), (50.883651, 4.697728), (50.883522, 4.697685), (50.883393, 4.697728), (50.88335, 4.697857), (50.883393, 4.697986), (50.883479, 4.698071), (50.883522, 4.6982), (50.883522, 4.698372), (50.883479, 4.698501), (50.88335, 4.698544), (50.883179, 4.698544), (50.88305, 4.698501), (50.882363, 4.697814), (50.88232, 4.697685), (50.88232, 4.697514), (50.882277, 4.697385), (50.882192, 4.697385), (50.882149, 4.697514), (50.882149, 4.6982), (50.882192, 4.698329), (50.882277, 4.698415), (50.882363, 4.698672), (50.882449, 4.698758), (50.882449, 4.698844), (50.88232, 4.698887), (50.882192, 4.698844), (50.882106, 4.698586), (50.88202, 4.698501), (50.881977, 4.698372), (50.881977, 4.698029), (50.881934, 4.6979), (50.881848, 4.697814), (50.881805, 4.697685), (50.881805, 4.69717), (50.881763, 4.697042), (50.881591, 4.69687), (50.881333, 4.696784), (50.881248, 4.696698), (50.88099, 4.696612), (50.880947, 4.696484), (50.88099, 4.696355), (50.881119, 4.696312), (50.881248, 4.696355), (50.881333, 4.696441), (50.881591, 4.696527), (50.881934, 4.69687), (50.88202, 4.697127), (50.882106, 4.697127), (50.882192, 4.69687), (50.882277, 4.696784), (50.882363, 4.696527), (50.882449, 4.696441), (50.882492, 4.696312), (50.882492, 4.695969), (50.882535, 4.69584), (50.882621, 4.695754), (50.882664, 4.695625), (50.882664, 4.694939), (50.882707, 4.69481), (50.882792, 4.694724), (50.882835, 4.694595), (50.882835, 4.694252), (50.882878, 4.694123), (50.882964, 4.694037), (50.88305, 4.69378), (50.883136, 4.693758), (50.883179, 4.693823), (50.883179, 4.69393)]"
103,385.0,,Kolonel Begaultlaan ,15.0,3012.0,Wilsele,Vlaams-Brabant,,,,,"Kolonel Begaultlaan ,15.0,Vlaams-Brabant,Belgium",50.8958652,4.7062523,"[(50.896225, 4.704745), (50.896225, 4.705067), (50.896182, 4.705195), (50.896096, 4.705281), (50.896053, 4.70541), (50.896053, 4.705925), (50.896096, 4.706054), (50.896225, 4.706097), (50.897255, 4.706097), (50.897384, 4.70614), (50.897427, 4.706268), (50.897384, 4.706397), (50.897255, 4.70644), (50.895023, 4.70644), (50.894895, 4.706397), (50.894809, 4.706311), (50.894551, 4.706225), (50.894122, 4.705796), (50.894036, 4.705796), (50.893779, 4.706054), (50.89365, 4.706097), (50.893521, 4.706054), (50.893478, 4.705925), (50.893521, 4.705796), (50.893693, 4.705625), (50.893822, 4.705582), (50.894337, 4.705582), (50.894465, 4.705625), (50.894895, 4.706054), (50.895023, 4.706097), (50.895538, 4.706097), (50.895667, 4.706054), (50.895753, 4.705796), (50.895839, 4.70571), (50.895882, 4.705582), (50.895882, 4.705067), (50.895925, 4.704938), (50.89601, 4.704852), (50.896096, 4.704595), (50.896182, 4.704573), (50.896225, 4.704638), (50.896225, 4.704745)]"
119,419.0,,Katjeswilgenlaan ,,3010.0,Kessel-Lo,Vlaams-Brabant,,N,,,"Katjeswilgenlaan ,,Vlaams-Brabant,Belgium",50.8936461,4.7186837,"[(50.895152, 4.717062), (50.895066, 4.717126), (50.89498, 4.717212), (50.894723, 4.717298), (50.894637, 4.717383), (50.89438, 4.717469), (50.894294, 4.717555), (50.894165, 4.717598), (50.893993, 4.717598), (50.893865, 4.717641), (50.893693, 4.717813), (50.89365, 4.717941), (50.89365, 4.718285), (50.893693, 4.718413), (50.893779, 4.718499), (50.893822, 4.718628), (50.893822, 4.719315), (50.893865, 4.719443), (50.894122, 4.719701), (50.894165, 4.71983), (50.894122, 4.719958), (50.894036, 4.719958), (50.893693, 4.719615), (50.89365, 4.719486), (50.89365, 4.719315), (50.893607, 4.719186), (50.893478, 4.719143), (50.893307, 4.719143), (50.893178, 4.7191), (50.893135, 4.718971), (50.893178, 4.718843), (50.893435, 4.718757), (50.893478, 4.718628), (50.893478, 4.718113), (50.893435, 4.717984), (50.893307, 4.717941), (50.893135, 4.717941), (50.893006, 4.717984), (50.89292, 4.71807), (50.892663, 4.718156), (50.892577, 4.718242), (50.892448, 4.718285), (50.892105, 4.718285), (50.891976, 4.718242), (50.891933, 4.718113), (50.891976, 4.717984), (50.892105, 4.717941), (50.892448, 4.717941), (50.892577, 4.717898), (50.892663, 4.717813), (50.89292, 4.717727), (50.893006, 4.717641), (50.893135, 4.717598), (50.893307, 4.717598), (50.893435, 4.717555), (50.893521, 4.717469), (50.893779, 4.717383), (50.893865, 4.717298), (50.893993, 4.717255), (50.894165, 4.717255), (50.894294, 4.717212), (50.89438, 4.717126), (50.894637, 4.71704), (50.894723, 4.716954), (50.894852, 4.716911), (50.895023, 4.716911), (50.895152, 4.716933), (50.895195, 4.716997), (50.895152, 4.717062)]"
126,427.0,,Tervuursevest,101.0,3001.0,Heverlee,Vlaams-Brabant,,,,,"Tervuursevest,101.0,Vlaams-Brabant,Belgium",50.872564,4.6909425,"[(50.873909, 4.68775), (50.873866, 4.687858), (50.87378, 4.687943), (50.873737, 4.688072), (50.873737, 4.688244), (50.873694, 4.688373), (50.873609, 4.688458), (50.873609, 4.688544), (50.873694, 4.68863), (50.873694, 4.688716), (50.873437, 4.688802), (50.873394, 4.688931), (50.873437, 4.689102), (50.873523, 4.689188), (50.873609, 4.689145), (50.873694, 4.689145), (50.873737, 4.689274), (50.873737, 4.68996), (50.873694, 4.690089), (50.873609, 4.690175), (50.873566, 4.690304), (50.873566, 4.690819), (50.873609, 4.690948), (50.873737, 4.69099), (50.873909, 4.69099), (50.874038, 4.690948), (50.874124, 4.69069), (50.874209, 4.69069), (50.874252, 4.690819), (50.874252, 4.69099), (50.874295, 4.691119), (50.874424, 4.691162), (50.874553, 4.691119), (50.874639, 4.691033), (50.874767, 4.69099), (50.874896, 4.691033), (50.874939, 4.691162), (50.874896, 4.691291), (50.874639, 4.691377), (50.874381, 4.691634), (50.874252, 4.691677), (50.874081, 4.691677), (50.873952, 4.691634), (50.873866, 4.691548), (50.873737, 4.691505), (50.873394, 4.691505), (50.873265, 4.691548), (50.873222, 4.691677), (50.873222, 4.692879), (50.873179, 4.693007), (50.873051, 4.69305), (50.872922, 4.693007), (50.872879, 4.692879), (50.872879, 4.692364), (50.872922, 4.692235), (50.873008, 4.692149), (50.873051, 4.69202), (50.873051, 4.691677), (50.873008, 4.691548), (50.872836, 4.691377), (50.87275, 4.691377), (50.872707, 4.691505), (50.872707, 4.691849), (50.872664, 4.691978), (50.872579, 4.692063), (50.872536, 4.692192), (50.872536, 4.693565), (50.872493, 4.693694), (50.872364, 4.693737), (50.872235, 4.693694), (50.872192, 4.693565), (50.872192, 4.69305), (50.872235, 4.692922), (50.872321, 4.692836), (50.872364, 4.692707), (50.872364, 4.69202), (50.872321, 4.691892), (50.872235, 4.691892), (50.870948, 4.693179), (50.870862, 4.693179), (50.870819, 4.69305), (50.870862, 4.692922), (50.870948, 4.692836), (50.871034, 4.692578), (50.871291, 4.692492), (50.871634, 4.692149), (50.87172, 4.691892), (50.872321, 4.691291), (50.872321, 4.691205), (50.872149, 4.691033), (50.872021, 4.69099), (50.871892, 4.691033), (50.871806, 4.691291), (50.871377, 4.69172), (50.871291, 4.691978), (50.871205, 4.692063), (50.871119, 4.692321), (50.870991, 4.692364), (50.870862, 4.692321), (50.870819, 4.692192), (50.870862, 4.692063), (50.871119, 4.691806), (50.871205, 4.691548), (50.871291, 4.691463), (50.871334, 4.691334), (50.871334, 4.690647), (50.871291, 4.690518), (50.871034, 4.690261), (50.871034, 4.690175), (50.871162, 4.690089), (50.871248, 4.690003), (50.871205, 4.689918), (50.871119, 4.68966), (50.871034, 4.689574), (50.870991, 4.689445), (50.870991, 4.688931), (50.870948, 4.688802), (50.870862, 4.688716), (50.870862, 4.68863), (50.870991, 4.688587), (50.871119, 4.68863), (50.871205, 4.688888), (50.871291, 4.688973), (50.871377, 4.689231), (50.871634, 4.689488), (50.87172, 4.689746), (50.872064, 4.690089), (50.872149, 4.690089), (50.872321, 4.689918), (50.872407, 4.68966), (50.872664, 4.689403), (50.87275, 4.689145), (50.873179, 4.688716), (50.873265, 4.688458), (50.873351, 4.688373), (50.873437, 4.688115), (50.873523, 4.688029), (50.873609, 4.687772), (50.87378, 4.6876), (50.873866, 4.687579), (50.873909, 4.687643), (50.873909, 4.68775)]"
